Team,Medal
Hungary,Silver
Hungary,Silver
Hungary,Silver
Hungary,Bronze
Hungary,Bronze
Hungary,Gold
Hungary,Silver
Hungary,Gold
Hungary,Bronze
Hungary,Silver
Hungary,Silver
Hungary,Silver
Hungary,Bronze
United States Virgin Islands,Silver
New Zealand,Bronze
Canada,Silver
Australia,Gold
Great Britain,Gold
Great Britain,Bronze
United States,Silver
Austria,Bronze
Austria,Silver
Canada,Silver
Egypt,Silver
United States,Silver
Australia,Bronze
United States,Silver
United States,Gold
Aruba,Gold
Aruba,Gold
Ireland,Bronze
United States,Gold
United States,Gold
United States,Bronze
France,Bronze
Canada,Bronze
United States,Bronze
Great Britain,Bronze
Australia,Gold
Australia,Gold
Australia,Bronze
United States,Gold
United States,Silver
Great Britain,Bronze
Canada,Silver
Norway,Gold
Austria,Bronze
Bulgaria,Gold
United States,Silver
United States,Bronze
Bolivia,Silver
Bolivia,Silver
Australia,Silver
Italy,Bronze
Slovakia,Silver
Germany,Gold
Switzerland,Bronze
Romania,Bronze
Iran,Gold
West Germany,Silver
West Germany,Silver
Switzerland-1,Gold
Switzerland-1,Gold
Switzerland,Silver
Sweden,Bronze
West Germany,Silver
Nigeria,Bronze
Hungary,Gold
Russia,Silver
Germany,Bronze
Egypt,Gold
Egypt,Bronze
Russia,Silver
United States,Gold
Italy,Silver
Nigeria,Gold
France,Silver
Switzerland,Bronze
France,Gold
France,Bronze
Great Britain,Gold
Great Britain,Gold
Italy,Silver
Italy,Bronze
Italy,Gold
Italy,Bronze
Italy,Silver
United States,Bronze
France,Silver
France,Bronze
France,Bronze
Great Britain,Gold
Great Britain,Gold
Haiti,Gold
Italy,Gold
France,Gold
France,Bronze
France,Silver
France,Silver
France,Bronze
France,Silver
Italy,Gold
Cuba,Silver
Brazil,Gold
France,Bronze
United States,Bronze
Switzerland,Silver
United States,Gold
United States,Silver
United States,Gold
Egypt,Gold
France,Silver
Senegal,Bronze
France,Bronze
France,Bronze
Puerto Rico,Bronze
France,Bronze
France,Silver
